Card_Name,Category,Card_Type,Rarity,Price_USD,Source
Snow-Covered Swamp,land,basic snow land — swamp,C,0.59,recommended
Barren Moor,land,land,C,0.25,recommended
Hidden Grotto,land,land,C,0.25,recommended
Brotherhood Headquarters,land,land,U,0.26,recommended
Rogue's Passage,land,land,U,0.25,recommended
Path of Ancestry,land,land,R,0.25,recommended
Conduit Pylons,land,land — desert,C,0.29,recommended
Buried Ruin,land,land,U,0.25,recommended
The Secret Lair,land,legendary land — lair,M,0.0,recommended
Marsh Flats,land,land,R,29.67,recommended
Verdant Catacombs,land,land,R,30.65,recommended
Mana Confluence,land,land,R,34.87,recommended
"Urborg, Tomb of Yawgmoth",land,legendary land,R,35.22,recommended
Flooded Strand,land,land,R,16.28,recommended
Urza's Saga,land,enchantment land — urza’s saga,R,41.5,recommended
Dauthi Mindripper,creature,Creature — Dauthi Minion,uncommon,0.29,seed
